candidate,seed,oof,delta_vs_ref,rmse_ic50,rmse_cc50,rmse_si
si_a45,7,535.9594998346353,-0.41619302866024555,347.7003107282572,474.9573118167785,785.2208769588701
si_rw15,7,536.1400289538212,-0.23566390947428317,347.7003107282572,474.9573118167785,785.762464316428
si_rw20,7,536.2178310048033,-0.15786185849219692,347.7003107282572,474.9573118167785,785.9958704693744
si_rw25,7,536.2963858668737,-0.07930699642179206,347.7003107282572,474.9573118167785,786.2315350555855
si_rw30,7,536.3756928632955,0.0,347.7003107282572,474.9573118167785,786.4694560448509
si_rw35,7,536.4557513116752,0.0800584483796456,347.7003107282572,474.9573118167785,786.7096313899899
si_rw40,7,536.5365605239903,0.16086766069474834,347.7003107282572,474.9573118167785,786.9520590269352
si_rw45,7,536.6181198066178,0.24242694332224346,347.7003107282572,474.9573118167785,787.1967368748176
si_rw50,7,536.7004284603624,0.3247355970669332,347.7003107282572,474.9573118167785,787.4436628360517
si_a32_rw25,7,536.4300052790223,0.05431241572682666,347.7003107282572,474.9573118167785,786.6323932920312
si_a33_rw25,7,536.3853005420357,0.009607678740167103,347.7003107282572,474.9573118167785,786.4982790810716
si_a37_rw35,7,536.3752720344935,-0.00042082880202087836,347.7003107282572,474.9573118167785,786.4681935584448
si_a40_rw35,7,536.2555202362515,-0.1201726270439849,347.7003107282572,474.9573118167785,786.1089381637191
si_a30_rw20,7,536.4510892033446,0.07539634004911022,347.7003107282572,474.9573118167785,786.6956450649982
