name,seed,oof,delta,si_rmse,ic50_rmse,cc50_rmse
si_mordred_w20,7,529.7558288274668,-0.4954922267912707,785.4920361312201,325.3154875561368,478.45996279504357
si_mordred_w25,42,524.5224516274517,-0.5318472131893941,786.2126001193913,322.89411985426335,464.4606349087003
si_mordred_w25,2024,528.1557259200595,-0.6368316105426857,784.916241755971,332.9790432015475,466.5718928026599
si_mordred_w25,7,529.6353165560217,-0.6160044982362933,785.1304993168849,325.3154875561368,478.45996279504357
si_mordred_w30,42,524.4197508676926,-0.6345479729484396,785.9044978401145,322.89411985426335,464.4606349087003
si_mordred_w30,2024,528.0319341835267,-0.760623347075466,784.5448665463729,332.9790432015475,466.5718928026599
si_mordred_w30,7,529.5161523456354,-0.7351687086226093,784.7730066857258,325.3154875561368,478.45996279504357
si_mordred_w35,42,524.3182763994267,-0.7360224412143452,785.6000744353164,322.89411985426335,464.4606349087003
si_mordred_w35,2024,527.9093379635774,-0.8832195670247529,784.1770778865247,332.9790432015475,466.5718928026599
si_mordred_w35,7,529.3983380394103,-0.8529830148477231,784.4195637670507,325.3154875561368,478.45996279504357
si_morgan_w15,42,524.7877256288216,-0.266573211819491,787.0084221235011,322.89411985426335,464.4606349087003
si_morgan_w15,2024,528.5319793613902,-0.26057816921195354,786.0450020799631,332.9790432015475,466.5718928026599
si_morgan_w15,7,530.0143050180782,-0.23701603617985256,786.2674647030541,325.3154875561368,478.45996279504357
si_morgan_w20,42,524.6996401316089,-0.3546587090321509,786.7441656318631,322.89411985426335,464.4606349087003
si_morgan_w20,2024,528.4462316210703,-0.34632590953185627,785.7877588590035,332.9790432015475,466.5718928026599
si_morgan_w20,7,529.9369719854941,-0.3143490687639314,786.0354656053022,325.3154875561368,478.45996279504357
si_morgan_w25,42,524.6119414045271,-0.44235743611397993,786.4810694506177,322.89411985426335,464.4606349087003
si_morgan_w25,2024,528.3610406185061,-0.4315169120960718,785.5321858513108,332.9790432015475,466.5718928026599
si_morgan_w25,7,529.8604763503099,-0.3908447039481189,785.8059786997495,325.3154875561368,478.45996279504357
si_morgan_w30,42,524.5246298358562,-0.5296690047848642,786.2191347446052,322.89411985426335,464.4606349087003
si_morgan_w30,2024,528.2764068972773,-0.5161506333248553,785.2782846876245,332.9790432015475,466.5718928026599
si_morgan_w30,7,529.7848188463985,-0.46650220785954843,785.5790061880149,325.3154875561368,478.45996279504357
si_morgan_w35,42,524.4377058126787,-0.6165930279623808,785.9583626750725,322.89411985426335,464.4606349087003
si_morgan_w35,2024,528.192330998109,-0.6002265324931386,785.0260569901195,332.9790432015475,466.5718928026599
si_morgan_w35,7,529.7100002004356,-0.5413208538224126,785.3545502501265,325.3154875561368,478.45996279504357
si_trans_k3_w15,42,524.6403061486648,-0.4139926919763184,786.5661636830306,322.89411985426335,464.4606349087003
si_trans_k3_w15,2024,528.1416263530649,-0.6509311775372453,784.8739430549873,332.9790432015475,466.5718928026599
si_trans_k3_w15,7,529.5571206782199,-0.6942003760381112,784.8959116834794,325.3154875561368,478.45996279504357
si_trans_k3_w20,42,524.603932230637,-0.4503666100040391,786.4570419289475,322.89411985426335,464.4606349087003
si_trans_k3_w20,2024,527.9561160103142,-0.8364415202879627,784.3174120267352,332.9790432015475,466.5718928026599
si_trans_k3_w20,7,529.3393171487305,-0.9120039055275129,784.2425010950111,325.3154875561368,478.45996279504357
si_trans_k3_w25,42,524.6184300048349,-0.43586883580621816,786.5005352515409,322.89411985426335,464.4606349087003
si_trans_k3_w25,2024,527.7863972505464,-1.0061602800557239,783.8082557474318,332.9790432015475,466.5718928026599
si_trans_k3_w25,7,529.1283407032228,-1.1229803510352667,783.6095717584878,325.3154875561368,478.45996279504357
si_trans_k3_w30,42,524.6837910337784,-0.3705078068626335,786.6966183383716,322.89411985426335,464.4606349087003
si_trans_k3_w30,2024,527.6325008662017,-1.1600566644004857,783.3465665943975,332.9790432015475,466.5718928026599
si_trans_k3_w30,7,528.9242078975489,-1.3271131567091743,782.9971733414662,325.3154875561368,478.45996279504357
si_trans_k5_w15,42,524.3826025658442,-0.6716962747968864,785.7930529345688,322.89411985426335,464.4606349087003
si_trans_k5_w15,2024,528.091619484437,-0.7009380461651062,784.7239224491037,332.9790432015475,466.5718928026599
si_trans_k5_w15,7,529.4811513769268,-0.7701696773311824,784.6680037796003,325.3154875561368,478.45996279504357
si_trans_k5_w20,42,524.2560089323865,-0.79828990825456,785.4132720341958,322.89411985426335,464.4606349087003
si_trans_k5_w20,2024,527.8905148657576,-0.9020426648445437,784.1206085930654,332.9790432015475,466.5718928026599
si_trans_k5_w20,7,529.2396952319552,-1.0116258223027899,783.9436353446854,325.3154875561368,478.45996279504357
si_trans_k5_w25,42,524.178208134463,-0.8760907061780472,785.1798696404252,322.89411985426335,464.4606349087003
si_trans_k5_w25,2024,527.7057461182359,-1.0868114123662735,783.5663023505001,332.9790432015475,466.5718928026599
si_trans_k5_w25,7,529.0059084841238,-1.245412570134249,783.242275101191,325.3154875561368,478.45996279504357
si_trans_k5_w30,42,524.1492436893355,-0.9050551513055325,785.0929763050428,322.89411985426335,464.4606349087003
si_trans_k5_w30,2024,527.5373479329419,-1.2552095976602686,783.0611077946182,332.9790432015475,466.5718928026599
si_trans_k5_w30,7,528.7798117541505,-1.4715093001075275,782.563984911271,325.3154875561368,478.45996279504357
si_trans_k8_w15,42,524.4257191642214,-0.6285796764196903,785.9224027297006,322.89411985426335,464.4606349087003
si_trans_k8_w15,2024,528.0928683882145,-0.6996891423876832,784.7276691604361,332.9790432015475,466.5718928026599
si_trans_k8_w15,7,529.5785696142688,-0.6727514399892698,784.9602584916258,325.3154875561368,478.45996279504357
si_trans_k8_w20,42,524.3125971342323,-0.7417017064087759,785.583036639733,322.89411985426335,464.4606349087003
si_trans_k8_w20,2024,527.8907863307727,-0.9017711998294544,784.1214229881107,332.9790432015475,466.5718928026599
si_trans_k8_w20,7,529.3685477251792,-0.8827733290788728,784.3301928243571,325.3154875561368,478.45996279504357
si_trans_k8_w25,42,524.2478036972285,-0.806495143412576,785.3886563287217,322.89411985426335,464.4606349087003
si_trans_k8_w25,2024,527.7043406710063,-1.088216859595832,783.5620860088115,332.9790432015475,466.5718928026599
si_trans_k8_w25,7,529.1656692132578,-1.0856518410001854,783.7215572885931,325.3154875561368,478.45996279504357
si_trans_k8_w30,42,524.2313747388206,-0.8229241018204903,785.339369453498,322.89411985426335,464.4606349087003
si_trans_k8_w30,2024,527.5335649164255,-1.258992614176691,783.0497587450692,332.9790432015475,466.5718928026599
